company_name,location,job_title,experience_required,job_description,skills
Tata Consultancy Services,Bengaluru,Software Engineer,2-5 years,"Tata Consultancy Services is seeking a Software Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Java', 'C++', 'SQL', 'Git', 'REST APIs', 'Data Structures', 'OOP', 'Communication', 'Cloud']"
Tata Consultancy Services,Bengaluru,Data Analyst,2-5 years,"Tata Consultancy Services is seeking a Data Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['SQL', 'Python', 'Excel', 'Power BI', 'Tableau', 'Statistics', 'Data Cleaning', 'Cloud', 'Data Visualization']"
Tata Consultancy Services,Chennai,Data Scientist,2-5 years,"Tata Consultancy Services is seeking a Data Scientist to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Machine Learning', 'Deep Learning', 'Pandas', 'NumPy', 'SQL', 'TensorFlow', 'Microservices', 'Cloud']"
Tata Consultancy Services,Kochi,Full Stack Developer,2-5 years,"Tata Consultancy Services is seeking a Full Stack Developer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['JavaScript', 'React', 'Node.js', 'HTML', 'CSS', 'MongoDB', 'REST APIs', 'Cloud', 'Problem Solving']"
Tata Consultancy Services,Bengaluru,DevOps Engineer,2-5 years,"Tata Consultancy Services is seeking a DevOps Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Docker', 'Kubernetes', 'CI/CD', 'AWS', 'Linux', 'Shell Scripting', 'Git', 'Cloud', 'Agile']"
Tata Consultancy Services,Kochi,Cloud Engineer,2-5 years,"Tata Consultancy Services is seeking a Cloud Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['AWS', 'Azure', 'GCP', 'Terraform', 'Networking', 'Linux', 'Python', 'Cloud', 'Data Visualization']"
Tata Consultancy Services,Kochi,AI/ML Engineer,2-5 years,"Tata Consultancy Services is seeking a AI/ML Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'TensorFlow', 'PyTorch', 'Machine Learning', 'Deep Learning', 'Data Preprocessing', 'APIs', 'Problem Solving']"
Tata Consultancy Services,Hyderabad,Cybersecurity Analyst,2-5 years,"Tata Consultancy Services is seeking a Cybersecurity Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Network Security', 'SIEM', 'Ethical Hacking', 'Firewalls', 'Risk Assessment', 'Communication', 'Data Visualization']"
Tata Consultancy Services,Bengaluru,Business Analyst,2-5 years,"Tata Consultancy Services is seeking a Business Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Requirement Gathering', 'SQL', 'Excel', 'Stakeholder Management', 'Agile', 'APIs', 'Agile']"
Tata Consultancy Services,Kochi,QA Engineer,2-5 years,"Tata Consultancy Services is seeking a QA Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Selenium', 'Manual Testing', 'Automation Testing', 'Test Cases', 'JIRA', 'Cloud', 'Data Visualization']"
Infosys,Bengaluru,Software Engineer,2-5 years,"Infosys is seeking a Software Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Java', 'C++', 'SQL', 'Git', 'REST APIs', 'Data Structures', 'OOP', 'Agile', 'Problem Solving']"
Infosys,Hyderabad,Data Analyst,2-5 years,"Infosys is seeking a Data Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['SQL', 'Python', 'Excel', 'Power BI', 'Tableau', 'Statistics', 'Data Cleaning', 'Cloud', 'Data Visualization']"
Infosys,Hyderabad,Data Scientist,2-5 years,"Infosys is seeking a Data Scientist to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Machine Learning', 'Deep Learning', 'Pandas', 'NumPy', 'SQL', 'TensorFlow', 'Problem Solving', 'Communication']"
Infosys,Kochi,Full Stack Developer,2-5 years,"Infosys is seeking a Full Stack Developer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['JavaScript', 'React', 'Node.js', 'HTML', 'CSS', 'MongoDB', 'REST APIs', 'APIs', 'Microservices']"
Infosys,Chennai,DevOps Engineer,2-5 years,"Infosys is seeking a DevOps Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Docker', 'Kubernetes', 'CI/CD', 'AWS', 'Linux', 'Shell Scripting', 'Git', 'Agile', 'Problem Solving']"
Infosys,Kochi,Cloud Engineer,2-5 years,"Infosys is seeking a Cloud Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['AWS', 'Azure', 'GCP', 'Terraform', 'Networking', 'Linux', 'Python', 'Problem Solving', 'Cloud']"
Infosys,Bengaluru,AI/ML Engineer,2-5 years,"Infosys is seeking a AI/ML Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'TensorFlow', 'PyTorch', 'Machine Learning', 'Deep Learning', 'Data Preprocessing', 'Agile', 'Cloud']"
Infosys,Bengaluru,Cybersecurity Analyst,2-5 years,"Infosys is seeking a Cybersecurity Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Network Security', 'SIEM', 'Ethical Hacking', 'Firewalls', 'Risk Assessment', 'APIs', 'Problem Solving']"
Infosys,Bengaluru,Business Analyst,2-5 years,"Infosys is seeking a Business Analyst to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Requirement Gathering', 'SQL', 'Excel', 'Stakeholder Management', 'Agile', 'Data Visualization', 'Microservices']"
Infosys,Chennai,QA Engineer,2-5 years,"Infosys is seeking a QA Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Selenium', 'Manual Testing', 'Automation Testing', 'Test Cases', 'JIRA', 'Problem Solving', 'Data Visualization']"
Wipro,Hyderabad,Software Engineer,2-5 years,"Wipro is seeking a Software Engineer to work on enterprise-scale projects. The candidate will collaborate with cross-functional teams, design scalable systems, and deliver high-quality solutions using modern technologies.","['Python', 'Java', 'C++', 'SQL', 'Git', 'REST APIs', 'Data Structures', 'OOP', 'APIs', 'Cloud']"
